,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
1030,Alhambra,California,41.0,42184.0,43388.0,85572,44441.0,2.89,CA,427.25,25.02,251.77,13.23,46.77,54.06
1031,Victoria,Texas,35.8,32290.0,35291.0,67581,4480.0,2.7,TX,,,,,,
1032,Hartford,Connecticut,31.0,58042.0,65972.0,124014,28467.0,2.59,CT,263.69,9.77,53.64,0.97,2.64,3.35
1033,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,27313.0,2.88,MA,263.69,11.31,54.36,1.55,3.17,6.08
1034,Ames,Iowa,23.0,33814.0,31238.0,65052,8606.0,2.16,IA,,,,,,
1035,Trenton,New Jersey,33.3,42581.0,41650.0,84231,20428.0,3.04,NJ,,,,,,
1036,Davis,California,26.3,33493.0,34163.0,67656,13997.0,2.69,CA,233.65,1.71,143.05,0.32,13.34,15.57
1038,Odessa,Texas,31.2,61119.0,57861.0,118980,15845.0,2.92,TX,230.31,1.86,64.37,1.07,12.39,22.33
1039,Olathe,Kansas,33.0,65046.0,69270.0,134316,11913.0,2.969999999999999,KS,,,,,,
1041,Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,101312.0,2.69,HI,,,,,,
1042,Dothan,Alabama,38.9,32172.0,35364.0,67536,1699.0,2.59,AL,220.3,1.11,84.4,0.57,4.01,4.88
1043,Rochester,New York,31.4,100135.0,109673.0,209808,17735.0,2.36,NY,347.14,22.96,28.61,0.69,8.88,10.31
1044,Davenport,Iowa,35.2,50123.0,52454.0,102577,4065.0,2.39,IA,247.0,8.48,52.21,0.22,2.52,2.84
1045,Round Rock,Texas,34.9,56646.0,59193.0,115839,18237.0,3.13,TX,247.0,7.03,62.23,0.3,3.72,6.25
1046,Glendale,Arizona,34.4,116795.0,123319.0,240114,44133.0,2.89,AZ,247.0,6.34,107.29,2.15,6.33,7.35
1047,San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,PR,,,,,,
1048,Madison,Wisconsin,30.7,122596.0,126360.0,248956,30090.0,2.23,WI,267.03,13.88,24.32,0.07,1.8,2.34
1049,Everett,Washington,37.0,56212.0,51800.0,108012,19499.0,2.36,WA,263.69,5.4,55.08,2.18,3.47,4.7
1051,Albany,New York,32.8,47627.0,50825.0,98452,11948.0,2.08,NY,283.72,14.91,44.7,1.24,4.04,4.5
1052,New Britain,Connecticut,33.4,37350.0,35459.0,72809,15080.0,2.52,CT,,,,,,
1053,McAllen,Texas,32.3,68332.0,71921.0,140253,37691.0,3.19,TX,226.97,1.34,88.69,0.52,7.93,9.62
1054,Missouri City,Texas,37.2,34932.0,36846.0,71778,18556.0,3.03,TX,350.48,23.31,86.55,1.25,6.64,9.15
1055,High Point,North Carolina,35.5,51751.0,58077.0,109828,16315.0,2.65,NC,277.04,7.45,47.21,0.69,5.81,6.13
1056,Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,3.01,FL,205.28,1.27,95.84,0.23,2.96,4.43
1057,Youngs,Ohio,37.5,30758.0,33851.0,64609,1058.0,2.22,OH,,,,,,
1058,Hammond,Indiana,36.0,38923.0,38687.0,77610,9224.0,2.61,IN,,,,,,
1059,Elgin,Illinois,35.7,54852.0,56224.0,111076,30167.0,2.969999999999999,IL,,,,,,
1060,Boise,Idaho,34.9,110099.0,108181.0,218280,13409.0,2.61,ID,223.64,2.49,90.84,0.51,6.94,20.84
1064,Houston,Texas,32.6,1149686.0,1148942.0,2298628,696210.0,2.66,TX,,,,,,
1066,Round Rock,Texas,34.9,56646.0,59193.0,115839,18237.0,3.13,TX,247.0,7.03,62.23,0.3,3.72,6.25
1067,Columbia,South Carolina,28.0,67686.0,65707.0,133393,6074.0,2.32,SC,240.33,2.66,60.8,0.95,4.39,4.63
1068,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,14630.0,2.38,IL,,,,,,
1069,Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,2.5700000000000003,TX,,,,,,
1070,Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,80165.0,2.58,OK,447.27,40.1,32.9,0.88,5.49,6.69
1071,Scranton,Pennsylvania,38.5,37975.0,39137.0,77112,8069.0,2.39,PA,260.35,12.0,71.53,2.21,2.6,3.0
1072,Des Moines,Iowa,34.5,103726.0,106591.0,210317,23857.0,2.41,IA,,,,,,
1074,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4454.0,2.49,WI,,,,,,
1077,Bend,Oregon,37.3,42294.0,44723.0,87017,3032.0,2.39,OR,,,,,,
1078,Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,2.55,TX,236.99,3.43,127.32,6.38,9.18,12.41
1079,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,2.73,MD,313.76,24.33,53.64,3.99,7.53,9.53
1080,West Valley City,Utah,30.7,68235.0,67989.0,136224,30712.0,3.81,UT,410.56,45.24,92.98,5.25,38.96,43.55
1081,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,1815.0,2.54,VA,230.31,14.22,20.92,5.54,2.42,2.89
1082,Mobile,Alabama,38.0,91275.0,103030.0,194305,7234.0,2.4,AL,230.31,2.91,83.69,0.97,4.22,5.18
1083,Woodbury,Minnesota,37.7,31982.0,35868.0,67850,9477.0,2.719999999999999,MN,,,,,,
1084,Columbus,Georgia,33.7,98785.0,101794.0,200579,10376.0,2.62,GA,263.69,9.08,44.7,1.58,2.15,2.23
1087,Killeen,Texas,29.2,69442.0,71367.0,140809,15769.0,2.719999999999999,TX,223.64,2.51,90.12,0.66,4.54,8.91
1088,Arvada,Colorado,41.0,54870.0,60165.0,115035,4921.0,2.49,CO,323.77,21.94,95.84,2.8,9.73,11.22
1089,Hoover,Alabama,38.5,38040.0,46799.0,84839,8229.0,2.58,AL,226.97,2.36,87.26,1.13,4.24,4.59
1091,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,28567.0,2.42,FL,323.77,18.85,43.99,20.27,1.16,1.94
1092,Flower Mound,Texas,40.2,35200.0,35824.0,71024,6860.0,3.01,TX,,,,,,
1093,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,2.37,OK,440.6,38.04,27.9,2.44,5.65,6.81
1094,Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,2.5700000000000003,TX,,,,,,
1095,Vallejo,California,37.8,58379.0,62890.0,121269,30592.0,2.83,CA,223.64,1.35,101.57,0.67,6.34,9.92
1096,Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,2.4,FL,200.27,0.19,91.55,0.21,1.85,5.34
1097,Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,2.56,RI,,,,,,
1098,Redlands,California,36.2,33993.0,37035.0,71028,8681.0,2.8200000000000003,CA,397.21,9.85,263.21,9.54,56.02,63.19
1099,Beaumont,Texas,31.6,57326.0,60784.0,118110,10516.0,2.47,TX,247.0,2.91,125.89,1.24,10.08,11.89
1101,Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,3.18,AZ,206.95,1.33,128.75,1.04,7.81,15.6
1102,Glendale,Arizona,34.4,116795.0,123319.0,240114,44133.0,2.89,AZ,247.0,6.34,107.29,2.15,6.33,7.35
1103,Charlotte,North Carolina,34.3,396646.0,430475.0,827121,128897.0,2.52,NC,270.37,4.46,45.06,0.62,6.95,7.51
1104,Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,6313.0,2.28,AR,267.03,9.08,47.92,1.07,4.29,8.32
1105,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,9704.0,2.45,CO,,,,,,
1106,Boca Raton,Florida,47.3,44760.0,48466.0,93226,21117.0,2.22,FL,236.99,8.65,75.82,0.52,6.0,9.71
1108,Livonia,Michigan,47.4,45369.0,49264.0,94633,7175.0,2.52,MI,283.72,9.51,33.62,0.84,3.16,3.65
1109,Tampa,Florida,35.3,175517.0,193511.0,369028,58795.0,2.47,FL,213.62,2.08,91.55,0.59,2.91,5.1
1110,Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,2833.0,2.4,WI,,,,,,
1112,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,2.73,MD,313.76,24.33,53.64,3.99,7.53,9.53
1113,Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,2.46,OR,243.66,5.1,60.8,1.74,4.22,5.07
1114,Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,38360.0,2.61,VA,,,,,,
1115,Stamford,Connecticut,35.4,64941.0,63936.0,128877,44003.0,2.7,CT,,,,,,
1116,Hemet,California,36.8,38622.0,45251.0,83873,13330.0,2.969999999999999,CA,,,,,,
1117,Jackson,Mississippi,31.7,79039.0,91772.0,170811,1789.0,2.65,MS,230.31,4.46,90.84,1.59,4.41,5.73
1118,Passaic,New Jersey,30.4,36505.0,34577.0,71082,24174.0,3.56,NJ,,,,,,
1119,Bellevue,Washington,37.4,70763.0,69051.0,139814,54654.0,2.43,WA,280.38,10.11,42.56,2.98,3.7,5.29
1120,Gresham,Oregon,36.7,53866.0,56716.0,110582,17860.0,2.67,OR,,,,,,
1121,Folsom,California,40.9,41051.0,35317.0,76368,13234.0,2.62,CA,,,,,,
1122,Hollywood,Florida,41.4,75358.0,74363.0,149721,55158.0,2.65,FL,247.0,6.34,107.29,2.15,6.33,7.35
1123,Wyoming,Michigan,32.8,35967.0,39310.0,75277,8612.0,2.65,MI,211.95,2.61,55.79,0.54,0.5,0.59
1125,Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,3755.0,2.58,MO,,,,,,
1126,Thornton,Colorado,33.1,65482.0,67977.0,133459,17949.0,2.969999999999999,CO,,,,,,
1127,Dearborn,Michigan,33.5,46482.0,48698.0,95180,23920.0,3.04,MI,,,,,,
1129,Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,2.29,OH,208.62,0.83,80.11,0.34,2.54,4.08
1130,Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,2.29,VA,273.71,7.11,58.65,0.57,5.22,5.43
1131,Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,35320.0,2.48,CO,165.22,0.81,82.97,0.2,0.9,1.05
1132,Akron,Ohio,38.1,96886.0,100667.0,197553,10024.0,2.24,OH,327.11,14.74,21.82,1.36,3.98,5.19
1134,Victorville,California,30.6,60989.0,61247.0,122236,21959.0,3.47,CA,200.27,0.47,78.68,0.14,3.11,5.5
1135,Roseville,California,38.4,62591.0,67691.0,130282,18161.0,2.719999999999999,CA,,,,,,
1136,Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,2.48,MD,297.07,11.48,25.39,0.6,6.32,6.94
1137,South San Francisco,California,39.4,34177.0,33094.0,67271,27528.0,3.33,CA,230.31,1.39,88.69,1.06,4.88,10.79
1138,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,2.39,MA,323.77,26.39,40.41,3.43,4.47,7.63
1139,Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,2.56,KS,203.61,2.57,81.54,0.38,2.08,3.19
1140,Temecula,California,34.2,54407.0,57619.0,112026,18884.0,3.34,CA,300.41,3.6,191.69,4.83,26.64,29.94
1141,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,2.46,PA,,,,,,
1142,Redding,California,38.8,42530.0,49049.0,91579,5181.0,2.42,CA,206.95,1.74,111.58,0.25,4.74,7.01
1143,Longmont,Colorado,36.8,43941.0,48280.0,92221,10424.0,2.63,CO,240.33,5.44,104.43,1.71,5.96,6.67
1144,Santa Barbara,California,37.8,45068.0,46784.0,91852,19441.0,2.51,CA,206.95,0.36,87.98,0.08,3.75,4.08
1145,Mesquite,Texas,34.6,69240.0,75884.0,145124,26755.0,2.96,TX,520.71,45.93,23.25,1.59,6.37,10.18
1146,Cary,North Carolina,39.9,78932.0,81582.0,160514,30008.0,2.61,NC,,,,,,
1147,Chesapeake,Virginia,36.7,114964.0,120465.0,235429,13966.0,2.73,VA,257.02,8.05,45.42,0.62,6.79,8.44
1148,Enterprise,Nevada,34.1,69146.0,66328.0,135474,31173.0,2.89,NV,,,,,,
1149,Carlsbad,California,42.1,55119.0,58347.0,113466,17689.0,2.68,CA,,,,,,
1151,Chandler,Arizona,35.6,128885.0,131948.0,260833,38721.0,2.78,AZ,257.02,8.48,170.23,3.93,13.44,23.3
1152,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,9704.0,2.45,CO,,,,,,
1153,San Diego,California,34.5,693826.0,701081.0,1394907,373842.0,2.73,CA,257.02,4.97,141.62,3.13,18.1,24.1
1154,Franklin,Tennessee,38.3,34991.0,37644.0,72635,6876.0,2.73,TN,,,,,,
1155,Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,3.0,CA,,,,,,
1156,Fall River,Massachusetts,39.3,43314.0,45456.0,88770,14775.0,2.21,MA,,,,,,
1157,Asheville,North Carolina,37.9,42100.0,46407.0,88507,6630.0,2.18,NC,230.31,2.61,55.79,0.92,2.04,2.18
1158,Moreno Valley,California,30.7,98584.0,105597.0,204181,54442.0,3.9,CA,467.3,10.88,343.32,15.02,69.89,75.93
1159,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,13177.0,2.44,AR,300.41,15.59,40.41,0.5,3.43,5.5
1160,West Covina,California,39.8,51629.0,56860.0,108489,37038.0,3.56,CA,527.38,27.42,331.88,20.74,72.15,81.04
1162,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,5757.0,3.44,AZ,210.29,1.97,108.72,0.48,5.96,14.8
1163,Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,2.2,VA,297.07,43.18,24.68,35.76,92.47,109.56
1164,Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,573463.0,2.53,IL,407.22,50.72,14.84,2.21,5.51,7.72
1167,Concord,California,39.6,62310.0,66358.0,128668,37428.0,2.719999999999999,CA,250.34,8.91,50.78,1.55,3.08,3.59
1168,Pomona,California,32.1,74945.0,78307.0,153252,53879.0,3.63,CA,,,,,,
1169,Glendale,California,42.1,98181.0,102844.0,201025,111510.0,2.69,CA,247.0,6.34,107.29,2.15,6.33,7.35
1170,Carson,California,40.4,43790.0,49506.0,93296,33860.0,3.7,CA,367.17,19.54,168.8,5.07,24.12,29.99
1171,Centreville,Virginia,36.0,34749.0,37033.0,71782,27797.0,2.969999999999999,VA,,,,,,
1173,Shawnee,Kansas,40.1,32313.0,32745.0,65058,4136.0,2.64,KS,,,,,,
1175,San Ramon,California,39.1,39221.0,36911.0,76132,29691.0,3.09,CA,,,,,,
1176,Alhambra,California,41.0,42184.0,43388.0,85572,44441.0,2.89,CA,427.25,25.02,251.77,13.23,46.77,54.06
1177,Skokie,Illinois,43.4,31382.0,33437.0,64819,27424.0,2.78,IL,267.03,15.42,62.23,1.03,2.69,3.75
1179,Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,28133.0,2.73,MD,,,,,,
1181,Rochester,Minnesota,35.0,54934.0,57282.0,112216,17763.0,2.55,MN,347.14,22.96,28.61,0.69,8.88,10.31
1182,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,14630.0,2.38,IL,,,,,,
1185,Bellingham,Washington,30.7,41286.0,43857.0,85143,8713.0,2.44,WA,,,,,,
1187,Joliet,Illinois,33.1,70863.0,79162.0,150025,22409.0,3.13,IL,230.31,4.33,68.67,0.44,2.23,2.73
1188,Santa Clarita,California,38.1,90192.0,92175.0,182367,40666.0,3.02,CA,,,,,,
1189,Lawrence,Kansas,27.4,45592.0,48324.0,93916,8701.0,2.53,KS,,,,,,
1190,Gastonia,North Carolina,36.9,35527.0,39023.0,74550,5715.0,2.67,NC,,,,,,
1191,Hemet,California,36.8,38622.0,45251.0,83873,13330.0,2.969999999999999,CA,,,,,,
1192,Lakeland,Florida,38.1,47840.0,56570.0,104410,11592.0,2.56,FL,,,,,,
1194,Youngs,Ohio,37.5,30758.0,33851.0,64609,1058.0,2.22,OH,,,,,,
1195,Allen,Texas,37.2,51324.0,46814.0,98138,19649.0,3.04,TX,,,,,,
1196,Orlando,Florida,33.1,130940.0,139977.0,270917,50558.0,2.42,FL,,,,,,
1197,Glendale,Arizona,34.4,116795.0,123319.0,240114,44133.0,2.89,AZ,247.0,6.34,107.29,2.15,6.33,7.35
1198,Waldorf,Maryland,33.6,35640.0,39872.0,75512,5954.0,2.69,MD,220.3,6.77,32.19,0.68,1.15,1.51
1199,Peoria,Illinois,33.1,56229.0,62432.0,118661,7517.0,2.4,IL,273.71,13.71,40.41,0.19,2.9,3.4
1200,Miami,Florida,40.4,215840.0,225149.0,440989,260789.0,2.5,FL,,,,,,
1201,Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,9813.0,2.37,WI,,,,,,
1202,Boynton Beach,Florida,45.8,33701.0,40271.0,73972,15431.0,2.45,FL,,,,,,
1203,Anchorage,Alaska,32.2,152945.0,145750.0,298695,33258.0,2.77,AK,260.35,0.16,60.8,0.02,0.5,1.09
1204,Everett,Washington,37.0,56212.0,51800.0,108012,19499.0,2.36,WA,263.69,5.4,55.08,2.18,3.47,4.7
1205,Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN,226.97,4.07,61.51,1.27,1.8,2.0
1206,Mount Vernon,New York,38.5,31876.0,36745.0,68621,23777.0,2.85,NY,216.96,1.71,81.54,0.47,1.49,1.59
1207,Mountain View,California,33.5,42493.0,37945.0,80438,31857.0,2.46,CA,,,,,,
1208,Frisco,Texas,37.2,73989.0,80399.0,154388,30913.0,3.05,TX,236.99,5.66,78.68,0.63,3.43,4.89
1210,San Francisco,California,38.3,439752.0,425064.0,864816,297199.0,2.37,CA,230.31,1.39,88.69,1.06,4.88,10.79
1211,Lafayette,Indiana,33.5,34313.0,36857.0,71170,5697.0,2.19,IN,223.64,3.94,94.41,0.81,3.78,5.26
1212,Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,17490.0,2.85,MN,277.04,12.34,60.08,1.33,4.85,5.87
1213,Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,19176.0,2.56,MI,,,,,,
1214,Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,4701.0,2.53,SC,226.97,4.07,74.39,0.41,4.51,7.61
1215,Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,2.6,MD,,,,,,
1216,Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,2.51,WI,287.06,19.71,38.98,0.41,2.1,2.94
1217,Enterprise,Nevada,34.1,69146.0,66328.0,135474,31173.0,2.89,NV,,,,,,
1218,South San Francisco,California,39.4,34177.0,33094.0,67271,27528.0,3.33,CA,230.31,1.39,88.69,1.06,4.88,10.79
1219,Richardson,Texas,35.5,54676.0,56151.0,110827,29579.0,2.83,TX,,,,,,
1221,Aurora,Illinois,31.7,101964.0,101751.0,203715,50980.0,3.3,IL,247.0,10.97,47.21,0.17,1.94,2.7
1222,Irvine,California,34.6,125411.0,131516.0,256927,116366.0,2.73,CA,,,,,,
1224,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,2.41,TX,307.08,16.11,53.64,0.31,5.96,7.6
1225,Rancho Cordova,California,33.8,34844.0,36182.0,71026,17020.0,2.86,CA,,,,,,
1226,Naperville,Illinois,38.5,71365.0,75794.0,147159,30399.0,2.76,IL,,,,,,
1228,Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,2.88,TX,,,,,,
1229,Jackson,Tennessee,35.3,30007.0,36973.0,66980,2097.0,2.52,TN,230.31,4.46,90.84,1.59,4.41,5.73
1230,Rockville,Maryland,38.1,31205.0,35793.0,66998,25047.0,2.6,MD,337.12,26.05,54.36,3.01,8.98,9.99
1231,Clovis,California,37.8,52392.0,51780.0,104172,13409.0,2.76,CA,,,,,,
1232,Albany,Georgia,33.3,31695.0,39414.0,71109,861.0,2.38,GA,283.72,14.91,44.7,1.24,4.04,4.5
1233,Johnson City,Tennessee,38.2,31019.0,34350.0,65369,2878.0,2.18,TN,240.33,3.64,41.49,0.75,2.32,2.41
1234,Roseville,California,38.4,62591.0,67691.0,130282,18161.0,2.719999999999999,CA,,,,,,
1236,Pasco,Washington,28.6,35298.0,32799.0,68097,16265.0,3.45,WA,280.38,3.56,60.08,0.54,5.87,9.26
1237,Brentwood,New York,34.2,31395.0,32397.0,63792,27058.0,4.98,NY,260.35,10.54,120.16,5.9,10.89,14.86
1238,Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,2.56,KS,203.61,2.57,81.54,0.38,2.08,3.19
1239,Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,2.67,PA,,,,,,
1240,Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,2.74,CT,,,,,,
1242,Stamford,Connecticut,35.4,64941.0,63936.0,128877,44003.0,2.7,CT,,,,,,
1243,San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,PR,,,,,,
1244,Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,3.28,UT,230.31,7.8,86.55,2.0,9.24,13.12
1245,San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,3.13,CA,223.64,4.16,70.81,0.3,2.5,4.82
1246,Escondido,California,33.3,76551.0,74907.0,151458,46298.0,3.27,CA,,,,,,
1248,Lancaster,California,30.9,80668.0,80445.0,161113,17247.0,3.25,CA,,,,,,
1249,Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,28133.0,2.73,MD,,,,,,
1250,Lakewood,California,39.9,41523.0,40069.0,81592,18274.0,3.13,CA,250.34,11.31,100.14,2.15,4.73,5.9
1251,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,63413.0,3.18,NJ,323.77,34.96,40.05,6.14,4.33,6.15
1252,Westminster,California,42.9,45538.0,46573.0,92111,42227.0,3.27,CA,260.35,30.5,0.53,8.23,5.25,5.92
1253,Chico,California,29.9,46168.0,44168.0,90336,8425.0,2.5,CA,,,,,,
1254,Lincoln,Nebraska,32.3,138544.0,138802.0,277346,22958.0,2.4,NE,,,,,,
1255,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,16896.0,2.08,OH,257.02,10.97,49.35,3.87,2.66,2.95
1256,Escondido,California,33.3,76551.0,74907.0,151458,46298.0,3.27,CA,,,,,,
1257,Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,2.13,PA,,,,,,
1258,Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,3732.0,2.51,NC,206.95,1.65,79.39,0.19,1.41,1.73
1259,Kansas City,Missouri,35.9,228430.0,246931.0,475361,37787.0,2.35,MO,293.73,15.77,72.24,4.53,5.98,7.65
1260,Spokane,Washington,36.6,102756.0,110511.0,213267,13253.0,2.34,WA,297.07,9.34,57.22,1.12,10.09,15.87
1261,Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,2.88,TX,,,,,,
1262,Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,2.73,WA,233.65,1.67,90.12,1.82,5.79,6.41
1263,Surprise,Arizona,39.4,62875.0,65567.0,128442,9929.0,2.9,AZ,,,,,,
1264,College Station,Texas,22.9,54125.0,53774.0,107899,16145.0,2.52,TX,,,,,,
1266,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,2.79,NV,350.48,23.31,86.55,1.25,6.64,9.15
1267,Paradise,Nevada,37.2,122784.0,114162.0,236946,66712.0,2.65,NV,253.68,15.94,135.9,5.19,11.81,26.57
1268,Bossier City,Louisiana,32.7,33428.0,34669.0,68097,2980.0,2.4,LA,,,,,,
1269,Passaic,New Jersey,30.4,36505.0,34577.0,71082,24174.0,3.56,NJ,,,,,,
1270,Yakima,Washington,34.0,45147.0,48553.0,93700,15717.0,2.74,WA,240.33,4.58,59.37,0.18,3.28,3.76
1271,Springfield,Illinois,38.8,55639.0,62170.0,117809,4264.0,2.22,IL,226.97,4.46,54.36,0.34,1.81,2.08
1272,Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,38360.0,2.61,VA,,,,,,
1273,Bayonne,New Jersey,39.7,32705.0,33598.0,66303,21899.0,2.62,NJ,,,,,,
1274,Columbia,Maryland,37.9,52202.0,51265.0,103467,23249.0,2.68,MD,240.33,2.66,60.8,0.95,4.39,4.63
1275,Norman,Oklahoma,30.9,59483.0,60814.0,120297,8705.0,2.47,OK,473.98,41.13,36.48,1.16,6.44,7.71
1276,Lakewood,California,39.9,41523.0,40069.0,81592,18274.0,3.13,CA,250.34,11.31,100.14,2.15,4.73,5.9
1277,Lorain,Ohio,35.6,30844.0,32807.0,63651,1531.0,2.52,OH,277.04,12.0,39.7,4.65,4.54,4.8
1278,Alafaya,Florida,33.5,39504.0,45760.0,85264,15842.0,2.94,FL,,,,,,
1280,Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,2.56,RI,,,,,,
1281,Palm Coast,Florida,48.8,39489.0,42632.0,82121,9084.0,2.76,FL,210.29,0.99,88.69,0.37,2.45,3.07
1282,Clifton,New Jersey,38.5,41932.0,44409.0,86341,27979.0,3.11,NJ,,,,,,
1283,Joliet,Illinois,33.1,70863.0,79162.0,150025,22409.0,3.13,IL,230.31,4.33,68.67,0.44,2.23,2.73
1285,Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,3.18,TX,494.0,56.21,25.75,1.42,5.78,8.84
1286,Evansville,Indiana,38.0,57198.0,60481.0,117679,3169.0,2.25,IN,223.64,3.47,80.82,1.7,2.18,2.52
1287,Cary,North Carolina,39.9,78932.0,81582.0,160514,30008.0,2.61,NC,,,,,,
1288,Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,18033.0,2.41,MI,273.71,6.0,37.91,0.69,2.8,3.03
1289,Napa,California,37.2,39828.0,40601.0,80429,18449.0,2.84,CA,220.3,1.08,108.72,0.51,8.58,11.43
1290,Cicero,Illinois,28.5,43153.0,40714.0,83867,33801.0,3.89,IL,293.73,21.94,52.21,2.12,3.5,4.74
1291,Beaumont,Texas,31.6,57326.0,60784.0,118110,10516.0,2.47,TX,247.0,2.91,125.89,1.24,10.08,11.89
1292,Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,2.63,NV,,,,,,
1293,Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,2.7,GA,223.64,1.59,72.24,1.15,2.71,3.16
1294,Boston,Massachusetts,31.8,322149.0,347320.0,669469,190123.0,2.38,MA,,,,,,
1296,Tracy,California,35.5,43156.0,43937.0,87093,25410.0,3.42,CA,,,,,,
1298,New Braunfels,Texas,37.0,33071.0,36852.0,69923,5405.0,2.85,TX,230.31,4.88,74.39,0.31,2.54,4.53
1299,Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,22135.0,2.61,FL,208.62,1.35,87.98,0.37,2.37,5.24
1300,Henderson,Nevada,42.5,139412.0,146246.0,285658,35666.0,2.55,NV,201.94,7.11,121.59,1.85,7.55,19.41
1301,Elk Grove,California,36.1,80057.0,86833.0,166890,38693.0,3.34,CA,257.02,6.26,150.2,2.12,15.58,17.84
1302,Chula Vista,California,34.6,131485.0,134269.0,265754,82710.0,3.32,CA,257.02,4.97,141.62,3.13,18.1,24.1
1304,Salinas,California,30.4,77765.0,79621.0,157386,58693.0,3.719999999999999,CA,,,,,,
1305,Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,2.56,WI,280.38,19.19,55.79,1.62,2.27,2.85
1306,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,2.81,MA,226.97,4.46,54.36,0.34,1.81,2.08
1307,Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,3803.0,2.68,MO,413.9,35.99,47.92,3.82,9.77,11.4
1308,Billings,Montana,36.3,52705.0,57565.0,110270,3206.0,2.4,MT,193.6,2.23,74.39,0.32,1.93,4.25
